"_id","text","tweet_id","created_at","user_location","user_name","retweets","search_term"
"ObjectId(""5e436c11452fef139aa2fb35"")","'Latest reports are of a possible #SARS-#MERS hybrid, a new #coronavirus.  ""Pneumonia of unknown cause – China""… https://t.co/Ywmi6b0OWA'","1214056406342602752","Mon Jan 06 05:29:38 +0000 2020","Michigan","Animal_Nurse","","#coronavirus"
"ObjectId(""5e436c11452fef139aa2fb3f"")","'Fins ara algunes fonts descarten #grip comuna, #gripaviar, #adenovirus i els #coronavirus #SARS i #MERS. A HK, tanm… https://t.co/bbxVlnSMAn'","1213911882312167429","Sun Jan 05 19:55:20 +0000 2020","BCN-Catalunya","XavierAbadMdG","","#coronavirus"
"ObjectId(""5e436c11452fef139aa2fb41"")","'@arambaut @WHO But batteries of tests have been performed, and ruled out. No circulating #influenza, no known… https://t.co/qwlivPaov3'","1213899298821283841","Sun Jan 05 19:05:20 +0000 2020","New York, NY","Laurie_Garrett","","#coronavirus"
"ObjectId(""5e436c11452fef139aa2fb67"")","'5th Jan Wuhan official report\n\n1. 59 cases, 7 of them are severe, no ones are killed by the pneumonia.\n\n2. SARS and… https://t.co/lZG3HvLKNm'","1213807087005786112","Sun Jan 05 12:58:55 +0000 2020","Hong Kong","hayesluk","","#coronavirus"
"ObjectId(""5e436c11452fef139aa2fb68"")","'Prof. Hui does not rule out the etiological agent of the Wuhan pneumonia as novel #coronavirus. According to the in… https://t.co/FyqHQ9G5M0'","1213731136234377216","Sun Jan 05 07:57:07 +0000 2020","Hong Kong","hayesluk","","#coronavirus"
"ObjectId(""5e436c3a452fef139aa2fb6b"")","'New #Coronavirus? https://t.co/9pUfw9UYn7'","1214652733250297857","Tue Jan 07 20:59:13 +0000 2020","Zaragoza - Barcelona","adrigmsp","","#coronavirus"
"ObjectId(""5e436c3a452fef139aa2fb73"")","'It’s not known whether a #SARS-like “#coronavirus” has been identified, although there have been “numerous unsubsta… https://t.co/S6Xypwazi8'","1214556876819615744","Tue Jan 07 14:38:19 +0000 2020","Worldwide","ProMED_mail","","#coronavirus"
"ObjectId(""5e436c3a452fef139aa2fb76"")","'Succinct summary of current situation + context of #coronavirus research in China from @CIDRAP. @CDCgov has issued… https://t.co/fPUZOGKKco'","1214472806525628417","Tue Jan 07 09:04:15 +0000 2020","Hong Kong 🇭🇰","WK_vetepi","","#coronavirus"
"ObjectId(""5e436c5d452fef139aa2fb78"")","'Concern that a novel #coronavirus has caused the #wuhanpneumonia outbreak is gaining credence, though still unconfi… https://t.co/5S8MvCF6ZH'","1215059480221642752","Wed Jan 08 23:55:29 +0000 2020","Melbourne, Australia ","jwgale","","#coronavirus"
"ObjectId(""5e436c5d452fef139aa2fb79"")","'Ja ho avisavem fa uns dies. Tot el que està passant, el que es diu i el que NO es diu pot estar ""contaminat"" per aq… https://t.co/wGP7Hq5wb8'","1215057246230585351","Wed Jan 08 23:46:36 +0000 2020","BCN-Catalunya","XavierAbadMdG","","#coronavirus"
"ObjectId(""5e436c5d452fef139aa2fb7c"")","'#CoronaVirus #China https://t.co/gMJgJjZlpw'","1215055833412694017","Wed Jan 08 23:40:59 +0000 2020","None","CarlRogers254","","#coronavirus"
"ObjectId(""5e436c5d452fef139aa2fb7f"")","""Virologists weigh in on novel #coronavirus in China's outbreak https://t.co/mWR1Caahzb https://t.co/qwXz3fpzOv""","1215054528288083969","Wed Jan 08 23:35:48 +0000 2020","Minneapolis, MN","CIDRAP","","#coronavirus"
"ObjectId(""5e436c5d452fef139aa2fb84"")","'WHO says mysterious illness in China likely being caused by a novel #coronavirus. Something expected for a little w… https://t.co/4p6qNlKWxD'","1215047643144978434","Wed Jan 08 23:08:27 +0000 2020","Kota Kinabalu, Sabah","GSRajahram","","#coronavirus"
"ObjectId(""5e436c5d452fef139aa2fb85"")","'Thread.\n\nFurther explanation of transmission and incubation period of respiratory viruses.\n\n#Wuhan #pneumonia… https://t.co/KKKZLBCEtN'","1215046725456420864","Wed Jan 08 23:04:48 +0000 2020","None","theblissfulcave","","#coronavirus"
"ObjectId(""5e436c5d452fef139aa2fb86"")","'Thread\nImportant update about the #Wuhan #pneumonia virus- it\'s in the same ""... family of viruses that the agents… https://t.co/35N8qWkVn1'","1215046072189378560","Wed Jan 08 23:02:12 +0000 2020","None","theblissfulcave","","#coronavirus"
"ObjectId(""5e436c5d452fef139aa2fb89"")","'.@statnews @HelenBranswell   @WHO says mysterious illness in #China likely being caused by new virus   #Wuhan… https://t.co/e43oyXurCC'","1215042911458381825","Wed Jan 08 22:49:39 +0000 2020","Washington, D.C., U.S.A.","greg_folkers","","#coronavirus"
"ObjectId(""5e436c5d452fef139aa2fb92"")","'2003= #SARS\n2012= #MERS\n2020= ""Wuhan CoV""\n¿Un #coronavirus emergente cada 8-9 años? https://t.co/8IIluIM7Vs'","1215033258796310532","Wed Jan 08 22:11:17 +0000 2020","Madrid","Virusemergentes","","#coronavirus"
"ObjectId(""5e436c5d452fef139aa2fb93"")","'@statnews is reporting that @WHO has announced that the novel #coronavirus identified in several #pneumonia patient… https://t.co/uAWAlp71ZR'","1215032433617195008","Wed Jan 08 22:08:01 +0000 2020","Baltimore, MD","Outbreaks101","","#coronavirus"
"ObjectId(""5e436c5d452fef139aa2fb96"")","'@ToniTrilla @comb @UniBarcelona @ISGLOBALorg @SEIMC_ @hospitalclinic @icscat Casualitat o causalitat?...dificil de… https://t.co/RDaKujdY03'","1215027212539355138","Wed Jan 08 21:47:16 +0000 2020","BCN-Catalunya","XavierAbadMdG","","#coronavirus"
"ObjectId(""5e436c5d452fef139aa2fb97"")","'Segur que calen més proves. És però, la hipotesi més plausible, en una pneumonia virica que tambe podria tenir molt… https://t.co/3jTvMLkwV7'","1215026684329709569","Wed Jan 08 21:45:10 +0000 2020","BCN-Catalunya","XavierAbadMdG","","#coronavirus"
"ObjectId(""5e436c5d452fef139aa2fb9c"")","""Estem davant d'un nou salt d'un virus, en aquest cas, altre cop, un #coronavirus, del compartiment silvestre, proba… https://t.co/9N75AHgAYe""","1215023143531745281","Wed Jan 08 21:31:06 +0000 2020","BCN-Catalunya","XavierAbadMdG","","#coronavirus"
"ObjectId(""5e436c5d452fef139aa2fba1"")","""Es parla d'un nou #coronavirus trobat a #Wuhan; no està de més recordar a #MERS-CoV, amb taxa de mortalitat del 35%… https://t.co/ESTCsX7hTt""","1215016451842727938","Wed Jan 08 21:04:30 +0000 2020","BCN-Catalunya","XavierAbadMdG","","#coronavirus"
"ObjectId(""5e436c5d452fef139aa2fba9"")","'Chinese scientists investigating the mystery #WuHanPneumonia which has sickened dozens in central China have discov… https://t.co/9bu0PbhQc2'","1215013238326222848","Wed Jan 08 20:51:44 +0000 2020","Paris, France","MicrobesInfect","","#coronavirus"
"ObjectId(""5e436c5d452fef139aa2fbaf"")","'#pneumonia #Wuhan  #Chine nouveau #Coronavirus identifié https://t.co/njg69mhGHn'","1215009974109327363","Wed Jan 08 20:38:46 +0000 2020","France","Azeria64Azeria","","#coronavirus"
"ObjectId(""5e436c5d452fef139aa2fbb2"")","'#coronavirus #pneumonia #WuhanCluster https://t.co/PXBvQ4GaiE'","1215006500822777856","Wed Jan 08 20:24:58 +0000 2020","None","AalishaSahukhan","","#coronavirus"
"ObjectId(""5e436c5d452fef139aa2fbb9"")","'Thread #Wuhan #Coronavirus #China https://t.co/yPN88DIZug'","1215000779309891596","Wed Jan 08 20:02:14 +0000 2020","DMV→London→Freetown→Chicago","the_etheropian","","#coronavirus"
"ObjectId(""5e436c5d452fef139aa2fbbd"")","'De tota manera moltes coses no estan clares... perquè els desplaçats de #Wuhan diagnosticats a HK NO tenien… https://t.co/b6cd5Vw8bG'","1214991784696274944","Wed Jan 08 19:26:29 +0000 2020","BCN-Catalunya","XavierAbadMdG","","#coronavirus"
